ticket_id,account_id,created_at,category,resolution_hours,sentiment_score
1,112.0,2025-05-11,performance,62,-0.9104188939662364
2,106.0,2025-06-20,performance,16,-0.2524497958615319
3,281.0,2025-04-29,feature_request,33,0.1484133544617163
4,246.0,2025-06-01,integration,24,-0.3197566948764916
5,459.0,2025-12-06,billing,9,0.4015188677427499
6,401.0,2026-01-18,performance,67,0.8146529947009633
7,305.0,2025-11-19,integration,10,-0.4156346906736274
8,97.0,2026-02-18,integration,27,-0.9491102322376536
9,246.0,2025-09-23,feature_request,29,-0.676402650935902
10,157.0,2025-10-30,bug,44,-0.997963013635674
11,297.0,2025-09-03,feature_request,26,0.3080828355142455
12,147.0,2025-05-02,integration,48,0.7307801127689373
13,214.0,2025-12-21,feature_request,28,0.8624241779711153
14,27.0,2025-10-24,feature_request,50,-0.2447048947826733
15,299.0,2025-05-26,feature_request,18,0.2449759627775842
16,352.0,2025-04-09,billing,21,-0.9424825211107356
17,281.0,2026-02-21,integration,57,-0.0626220842979332
18,148.0,2025-09-19,billing,59,0.083557146544251
19,246.0,2026-02-04,integration,17,0.7783051141620994
20,384.0,2025-12-20,feature_request,14,-0.186878101163322
21,428.0,2025-11-21,billing,29,0.2123826294089186
22,314.0,2025-07-08,feature_request,13,0.1775479436059328
23,301.0,2025-06-01,bug,51,-0.9718703349742276
24,69.0,2025-06-03,performance,17,0.2342045384637505
25,425.0,2025-09-15,billing,25,0.0026581677068
26,47.0,2026-02-15,performance,11,0.8839255860948318
27,49.0,2025-06-29,integration,65,-0.8396806206677334
28,246.0,2026-01-28,performance,54,-0.9794249424985702
29,246.0,2025-04-16,integration,58,-0.966236660179854
30,142.0,2025-10-26,feature_request,59,0.2650295336241102
31,390.0,2026-01-25,integration,43,-0.5346769843093553
32,273.0,2026-01-18,feature_request,49,0.9593256245216146
33,246.0,2026-02-21,feature_request,1,0.8851233835150261
34,181.0,2025-11-27,bug,26,-0.3948465778535945
35,61.0,2025-04-30,feature_request,69,-0.8786466867511731
36,164.0,2025-10-03,performance,48,-0.5752239839076201
37,364.0,2025-11-22,performance,5,0.5431908161006693
38,177.0,2025-04-26,performance,52,0.2926406538589499
39,451.0,2025-12-05,billing,10,-0.8228621819823732
40,94.0,2026-03-12,bug,39,0.8742764166511721
41,320.0,2026-01-14,billing,48,-0.594009549975608
42,107.0,2026-01-27,integration,58,0.7454425094120818
43,246.0,2026-01-25,integration,9,-0.0301374473895759
44,84.0,2025-12-06,bug,46,-0.1976990664067532
45,475.0,2026-03-21,feature_request,4,0.7946169272103984
46,234.0,2025-09-03,integration,39,0.7177343980875899
47,176.0,2025-05-04,feature_request,49,0.8900185055041983
48,414.0,2025-07-26,billing,49,-0.7655087919387062
49,162.0,2025-09-16,feature_request,4,-0.9588286144605054
50,59.0,2025-05-04,billing,69,-0.003688519690989
51,383.0,2026-01-26,billing,69,0.3958753673051576
52,246.0,2025-11-17,integration,12,-0.9704076068899968
53,266.0,2026-01-25,integration,13,-0.3097477956267711
54,14.0,2025-07-19,billing,66,0.1538922844782777
55,142.0,2025-05-19,performance,24,0.901270188526359
56,386.0,2025-10-09,bug,57,-0.4876017119915661
57,74.0,2025-05-03,performance,27,0.6997851460926492
58,109.0,2025-10-17,feature_request,29,-0.8139498441078215
59,15.0,2025-12-02,billing,6,-0.0081808958711775
60,48.0,2025-06-01,performance,65,-0.7477024558623131
61,55.0,2025-09-16,feature_request,42,-0.245312310061901
62,373.0,2026-02-14,integration,37,0.0441655288684224
63,320.0,2025-05-13,feature_request,36,-0.918242962476156
64,179.0,2025-09-27,billing,30,0.4461435688565724
65,474.0,2025-04-11,feature_request,14,-0.1225544240017293
66,246.0,2025-12-29,performance,71,0.2173495196327828
67,417.0,2025-08-27,performance,16,0.970341291868033
68,340.0,2025-10-01,feature_request,35,0.4613736418476539
69,353.0,2025-04-23,performance,10,0.0528912349412624
70,318.0,2025-05-09,bug,28,-0.123548727942133
71,116.0,2026-03-27,feature_request,19,-0.2142199105337732
72,110.0,2026-02-25,integration,59,0.3660402285077895
73,103.0,2025-04-27,bug,30,0.0769352675090109
74,151.0,2025-06-18,integration,39,0.5752996874709504
75,246.0,2025-12-30,performance,32,0.0172241839498719
76,8.0,2025-04-26,integration,14,0.3507602436081225
77,174.0,2026-03-03,feature_request,6,0.6455841768091524
78,184.0,2025-12-15,bug,7,-0.7832512484520007
79,387.0,2025-12-10,bug,60,0.9879284072784028
80,246.0,2025-10-10,bug,50,-0.7945076562239102
81,496.0,2025-12-12,billing,21,-0.4669926095317185
82,317.0,2025-10-06,bug,46,-0.9016297001347902
83,250.0,2025-11-23,feature_request,62,0.4332562912872679
84,383.0,2026-02-19,integration,35,-0.2916148656271597
85,64.0,2025-05-02,billing,12,-0.1825842902486929
86,176.0,2025-05-27,integration,50,-0.9152268736427348
87,246.0,2025-06-23,feature_request,60,0.6053219278176942
88,181.0,2025-09-25,billing,51,-0.2266711180901088
89,126.0,2025-05-23,billing,19,-0.0442610455798386
90,133.0,2025-12-15,performance,4,-0.6145810515636758
91,448.0,2025-07-06,billing,63,-0.921196023214052
92,98.0,2025-12-13,performance,71,-0.5146722136095221
93,406.0,2025-05-08,performance,14,-0.1487053668450817
94,447.0,2026-02-20,billing,54,0.4996603362367486
95,72.0,2025-11-24,performance,16,0.8238531459106067
96,468.0,2026-02-14,integration,32,-0.8244118455899672
97,360.0,2025-05-30,bug,37,0.7568571413849863
98,320.0,2025-10-18,feature_request,1,-0.4206248528018743
99,212.0,2025-05-07,billing,1,-0.1962688166935464
100,251.0,2025-12-30,performance,12,-0.3353368926234785
101,246.0,2025-09-23,bug,35,0.5767458377335095
102,495.0,2025-09-01,billing,28,0.6716941034240584
103,362.0,2026-03-23,billing,45,0.4216331739282151
104,246.0,2025-08-19,billing,3,-0.7763228918454159
105,261.0,2025-07-18,integration,68,-0.702346214124232
106,172.0,2025-05-11,billing,34,-0.4406302466677816
107,483.0,2025-04-04,feature_request,29,-0.9547434651659192
108,217.0,2025-06-20,billing,48,0.1036220645477914
109,350.0,2026-03-12,performance,36,0.8876492732231125
110,329.0,2026-02-06,feature_request,23,-0.3897496799750688
111,180.0,2026-02-25,integration,61,-0.641156764397572
112,326.0,2025-11-30,billing,57,0.4065088812817361
113,29.0,2025-05-05,bug,16,0.7691596914330103
114,223.0,2025-06-12,billing,7,0.3075615585909665
115,340.0,2025-04-30,performance,53,0.6133783148401986
116,246.0,2025-12-09,feature_request,46,0.0036680556817048
117,218.0,2025-10-09,bug,30,0.1995901447307648
118,302.0,2025-10-18,bug,4,-0.2171772298877103
119,165.0,2025-11-04,feature_request,27,0.8717499354476104
120,461.0,2026-02-20,billing,17,0.5102827898994884
121,403.0,2026-03-14,bug,12,-0.551023048682274
122,141.0,2026-03-02,performance,22,-0.440230028236124
123,79.0,2026-03-21,performance,56,-0.6061257216276081
124,346.0,2025-09-09,Bug ,3,0.4929915306602377
125,256.0,2026-03-17,bug,20,0.08778455406273
126,246.0,2025-07-31,feature_request,39,-0.3316378519205505
127,42.0,2025-11-15,bug,70,-0.927015877041683
128,352.0,2025-08-14,performance,30,-0.5902600662132635
129,19.0,2025-10-31,billing,16,-0.062336429401721
130,246.0,2025-11-18,billing,49,-0.2718856557390654
