event_id,account_id,week_start,tier,feature,usage_count
1,1,2024-01-01,Business,dashboard,14.0
2,1,2024-01-01,Business,reports,10.0
3,1,2024-01-01,Business,automation,7.0
4,1,2024-01-01,Business,integrations,3.0
5,1,2024-01-08,Business,dashboard,13.0
6,1,2024-01-08,Business,reports,13.0
7,1,2024-01-08,Business,automation,14.0
8,1,2024-01-08,Business,integrations,3.0
9,1,2024-01-15,Business,dashboard,16.0
10,1,2024-01-15,Business,reports,9.0
11,1,2024-01-15,Business,automation,14.0
12,1,2024-01-15,Business,integrations,7.0
13,1,2024-01-22,Business,dashboard,8.0
14,1,2024-01-22,Business,reports,17.0
15,1,2024-01-22,Business,automation,14.0
16,1,2024-01-22,Business,integrations,7.0
17,1,2024-01-29,Business,dashboard,13.0
18,1,2024-01-29,Business,reports,5.0
19,1,2024-01-29,Business,automation,10.0
20,1,2024-01-29,Business,integrations,9.0
21,1,2024-02-05,Business,dashboard,12.0
22,1,2024-02-05,Business,reports,11.0
23,1,2024-02-05,Business,automation,10.0
24,1,2024-02-05,Business,integrations,5.0
25,1,2024-02-12,Business,dashboard,6.0
26,1,2024-02-12,Business,reports,12.0
27,1,2024-02-12,Business,automation,13.0
28,1,2024-02-12,Business,integrations,10.0
29,1,2024-02-19,Business,dashboard,5.0
30,1,2024-02-19,Business,reports,7.0
31,1,2024-02-19,Business,automation,13.0
32,1,2024-02-19,Business,integrations,9.0
33,1,2024-02-26,Business,dashboard,9.0
34,1,2024-02-26,Business,reports,10.0
35,1,2024-02-26,Business,automation,11.0
36,1,2024-02-26,Business,integrations,9.0
37,1,2024-03-04,Business,dashboard,11.0
38,1,2024-03-04,Business,reports,10.0
39,1,2024-03-04,Business,automation,6.0
40,1,2024-03-04,Business,integrations,17.0
41,1,2024-03-11,Business,dashboard,10.0
42,1,2024-03-11,Business,reports,13.0
43,1,2024-03-11,Business,automation,10.0
44,1,2024-03-11,Business,integrations,11.0
45,1,2024-03-18,Business,dashboard,5.0
46,1,2024-03-18,Business,reports,20.0
47,1,2024-03-18,Business,automation,6.0
48,1,2024-03-18,Business,integrations,9.0
49,1,2024-03-25,Business,dashboard,8.0
50,1,2024-03-25,Business,reports,10.0
51,1,2024-03-25,Business,automation,14.0
52,1,2024-03-25,Business,integrations,9.0
53,1,2024-04-01,Business,dashboard,10.0
54,1,2024-04-01,Business,reports,11.0
55,1,2024-04-01,Business,automation,10.0
56,1,2024-04-01,Business,integrations,6.0
57,1,2024-04-08,Business,dashboard,14.0
58,1,2024-04-08,Business,reports,13.0
59,1,2024-04-08,Business,automation,6.0
60,1,2024-04-08,Business,integrations,12.0
61,1,2024-04-15,Business,dashboard,14.0
62,1,2024-04-15,Business,reports,6.0
63,1,2024-04-15,Business,automation,13.0
64,1,2024-04-15,Business,integrations,8.0
65,1,2024-04-22,Business,dashboard,13.0
66,1,2024-04-22,Business,reports,12.0
67,1,2024-04-22,Business,automation,15.0
68,1,2024-04-22,Business,integrations,11.0
69,1,2024-04-29,Business,dashboard,8.0
70,1,2024-04-29,Business,reports,10.0
71,1,2024-04-29,Business,automation,12.0
72,1,2024-04-29,Business,integrations,17.0
73,1,2024-05-06,Business,dashboard,5.0
74,1,2024-05-06,Business,reports,10.0
75,1,2024-05-06,Business,automation,10.0
76,1,2024-05-06,Business,integrations,11.0
77,1,2024-05-13,Business,dashboard,9.0
78,1,2024-05-13,Business,reports,15.0
79,1,2024-05-13,Business,automation,9.0
80,1,2024-05-13,Business,integrations,11.0
81,1,2024-05-20,Business,dashboard,4.0
82,1,2024-05-20,Business,reports,11.0
83,1,2024-05-20,Business,automation,7.0
84,1,2024-05-20,Business,integrations,7.0
85,1,2024-05-27,Business,dashboard,20.0
86,1,2024-05-27,Business,reports,12.0
87,1,2024-05-27,Business,automation,16.0
88,1,2024-05-27,Business,integrations,14.0
89,1,2024-06-03,Business,dashboard,11.0
90,1,2024-06-03,Business,reports,13.0
91,1,2024-06-03,Business,automation,12.0
92,1,2024-06-03,Business,integrations,5.0
93,1,2024-06-10,Business,dashboard,11.0
94,1,2024-06-10,Business,reports,14.0
95,1,2024-06-10,Business,automation,5.0
96,1,2024-06-10,Business,integrations,12.0
97,1,2024-06-17,Business,dashboard,12.0
98,1,2024-06-17,Business,reports,8.0
99,1,2024-06-17,Business,automation,11.0
100,1,2024-06-17,Business,integrations,12.0
101,1,2024-06-24,Business,dashboard,12.0
102,1,2024-06-24,Business,reports,14.0
103,1,2024-06-24,Business,automation,10.0
104,1,2024-06-24,Business,integrations,12.0
105,1,2024-07-01,Business,dashboard,9.0
106,1,2024-07-01,Business,reports,6.0
107,1,2024-07-01,Business,automation,14.0
108,1,2024-07-01,Business,integrations,7.0
109,1,2024-07-08,Business,dashboard,7.0
110,1,2024-07-08,Business,reports,13.0
111,1,2024-07-08,Business,automation,9.0
112,1,2024-07-08,Business,integrations,10.0
113,1,2024-07-15,Business,dashboard,10.0
114,1,2024-07-15,Business,reports,7.0
115,1,2024-07-15,Business,automation,8.0
116,1,2024-07-15,Business,integrations,6.0
117,1,2024-07-22,Business,dashboard,12.0
118,1,2024-07-22,Business,reports,13.0
119,1,2024-07-22,Business,automation,8.0
120,1,2024-07-22,Business,integrations,5.0
121,1,2024-07-29,Business,dashboard,11.0
122,1,2024-07-29,Business,reports,5.0
123,1,2024-07-29,Business,automation,13.0
124,1,2024-07-29,Business,integrations,16.0
125,1,2024-08-05,Business,dashboard,9.0
126,1,2024-08-05,Business,reports,12.0
127,1,2024-08-05,Business,automation,12.0
128,1,2024-08-05,Business,integrations,7.0
129,1,2024-08-12,Business,dashboard,6.0
130,1,2024-08-12,Business,reports,16.0
131,1,2024-08-12,Business,automation,10.0
132,1,2024-08-12,Business,integrations,10.0
133,1,2024-08-19,Business,dashboard,14.0
134,1,2024-08-19,Business,reports,13.0
135,1,2024-08-19,Business,automation,14.0
136,1,2024-08-19,Business,integrations,10.0
137,1,2024-08-26,Business,dashboard,12.0
138,1,2024-08-26,Business,reports,11.0
139,1,2024-08-26,Business,automation,13.0
140,1,2024-08-26,Business,integrations,9.0
141,1,2024-09-02,Business,dashboard,6.0
142,1,2024-09-02,Business,reports,20.0
143,1,2024-09-02,Business,automation,12.0
144,1,2024-09-02,Business,integrations,11.0
145,1,2024-09-09,Business,dashboard,10.0
146,1,2024-09-09,Business,reports,12.0
147,1,2024-09-09,Business,automation,8.0
148,1,2024-09-09,Business,integrations,14.0
149,1,2024-09-16,Business,dashboard,9.0
150,1,2024-09-16,Business,reports,9.0
151,1,2024-09-16,Business,automation,7.0
152,1,2024-09-16,Business,integrations,14.0
153,1,2024-09-23,Business,dashboard,4.0
154,1,2024-09-23,Business,reports,9.0
155,1,2024-09-23,Business,automation,9.0
156,1,2024-09-23,Business,integrations,8.0
157,1,2024-09-30,Business,dashboard,7.0
158,1,2024-09-30,Business,reports,11.0
159,1,2024-09-30,Business,automation,12.0
160,1,2024-09-30,Business,integrations,14.0
161,1,2024-10-07,Business,dashboard,10.0
162,1,2024-10-07,Business,reports,11.0
163,1,2024-10-07,Business,automation,7.0
164,1,2024-10-07,Business,integrations,16.0
165,1,2024-10-14,Business,dashboard,10.0
166,1,2024-10-14,Business,reports,12.0
167,1,2024-10-14,Business,automation,10.0
168,1,2024-10-14,Business,integrations,11.0
169,1,2024-10-21,Business,dashboard,13.0
170,1,2024-10-21,Business,reports,12.0
171,1,2024-10-21,Business,automation,8.0
172,1,2024-10-21,Business,integrations,15.0
173,1,2024-10-28,Business,dashboard,11.0
174,1,2024-10-28,Business,reports,17.0
175,1,2024-10-28,Business,automation,12.0
176,1,2024-10-28,Business,integrations,4.0
177,1,2024-11-04,Business,dashboard,10.0
178,1,2024-11-04,Business,reports,3.0
179,1,2024-11-04,Business,automation,8.0
180,1,2024-11-04,Business,integrations,18.0
181,1,2024-11-11,Business,dashboard,10.0
182,1,2024-11-11,Business,reports,10.0
183,1,2024-11-11,Business,automation,14.0
184,1,2024-11-11,Business,integrations,10.0
185,1,2024-11-18,Business,dashboard,12.0
186,1,2024-11-18,Business,reports,11.0
187,1,2024-11-18,Business,automation,10.0
188,1,2024-11-18,Business,integrations,6.0
189,1,2024-11-25,Business,dashboard,9.0
190,1,2024-11-25,Business,reports,19.0
191,1,2024-11-25,Business,automation,8.0
192,1,2024-11-25,Business,integrations,10.0
